text,intensity_score
Today I went for a long run and felt amazing,0.65
I walked around the neighborhood with my dog,0.1
I did an intense spinning class,0.75
"Rest day, just did some light stretching",0.05
Played tennis with my little brother for most of the afternoon,0.65
Rest day in preparation for running a marathon tomorrow,0.0
Lifted a few lego bricks,0.0
"Danced a lot at the club, flushed by the end",0.35
Read for a few hours,0.0
Did some light stretching,0.05
Ten pushups,0.35
Managed to swim 4 lengths of the pool,0.35
Twenty Pushups,0.35
Forty Pushups,0.6
Went for a short run around the neighbourhood,0.3
I walked around,0.1
I did an intense martial arts class,0.75
Fenced till I was sore,0.7
Rest day,0.0
Played tennis for most of the morning,0.6
"Cycled hard uphill for a good half-hour, then down to the park a few miles away",0.6
did 1000 steps throughout the day,0.1
did a thousand steps briskly,0.2
did 100 steps throughout the day,0.0
"Danced a lot at home, panting by the end",0.6
"Read the great gatsby, the pages were not heavy",0.0
Did some light-show work,0.0
Ten slow situps,0.15
Did an intense swimming class,0.75
Twenty slow situps,0.2
Forty situps without stopping,0.5
Today I went for a long jog and felt tired but proud,0.45
I walked around the park with my neighbor,0.1
"I did a hard spinning class with extra intervals, no breaks",0.85
Just rested today and did a few yoga stretches,0.05
Played doubles tennis with friends for two hours,0.55
Took a rest day to prepare for tomorrows half-marathon,0.0
Lifted my shopping bags and some books,0.05
"Danced at home for a few hours, pretty sweaty by the end",0.4
Read a novel for most of the afternoon,0.0
Did some light morning stretching,0.05
Ten slow pushups with lots of breaks,0.1
Swam 6 slow laps at the community pool,0.15
Twenty fast pushups,0.65
Forty pushups without stopping,0.75
Went for a slow jog around the block,0.1
Strolled around the mall for a bit,0.05
I did an intense kickboxing session,0.75
Practiced fencing drills until exhausted,0.8
"Completely rested today, no activity",0.0
Played a tennis match (best of 5 sets) no breaks,0.75
Did a gentle yoga class focused on breathing,0.05
Power-walked around the lake for 45 minutes,0.3
"Completed a heavy weightlifting session (deadlifts, squats)",0.8
Went hiking up a steep mountain trail,0.8
Took a slow bike ride around town,0.1
Rowed steadily for an hour on a machine,0.5
Sprinted intervals at the track,0.9
Slow danced at a party,0.2
"Worked in the garden, weeding and planting flowers",0.2
Helped a friend move furniture all afternoon,0.45
Did a slow-paced Zumba class,0.4
Practiced tai chi in the park,0.05
Jumped rope lightly for a few minutes,0.25
Did burpees till exhaustion,0.85
Jogged up and down stairs for 10 minutes,0.45
Stood and watched my kids soccer game,0.0
Did 30 minutes of Pilates,0.5
Swept and cleaned the house thoroughly,0.05
Took a very slow walk to the corner shop,0.05
Ran 10k race at competition pace,0.9
Slowly climbed a few flights of stairs,0.05
High-intensity spinning followed by slow cooldown ride,0.75
Carried groceries home over several blocks,0.4
Did a heavy CrossFit WOD,0.9
Skated around the rink with friends casually,0.15
Skated laps competitively at the rink,0.8
Did 15 minutes of easy aqua aerobics,0.1
Completed a hardcore HIIT session,0.9
Lightly practiced basketball shots with no game,0.1
Played a full court basketball game competitively,0.85
Did some light stretching after waking up,0.05
Did a moderately intense yoga class,0.4
Power-walked around the park for 45 minutes,0.25
"Went hiking down an forest trail, taking occaisonal breaks",0.55
Sprinted around town,0.75
Rowed vigorously for an hour on a machine,0.7
"Worked in the office, selling flowers",0.0
Casually practiced cricket in the park,0.6
Jumped rope quickly for thirty minutes,0.65
Did burpees till sweating,0.6
Slowly climbed a walll at a rock climbing centre,0.4
Carried heavy suitcase home over several blocks,0.4
Skateboarded with friends casually,0.05
Did 10 minutes of easy gymnastics,0.1
